,Neighborhood,Community area,Latitude,Longitude
0,Albany Park,Albany Park,41.9689723,-87.7197245
1,Altgeld Gardens,Riverdale,41.6541653,-87.5996863
2,Andersonville,Edgewater,41.6541653,-87.5996863
3,Archer Heights,Archer Heights,41.8108668,-87.7263045
4,Armour Square,Armour Square,41.8407554,-87.6340186
5,Ashburn,Ashburn,41.7410918,-87.7132516
6,Ashburn Estates,Ashburn,41.7410918,-87.7132516
7,Auburn Gresham,Auburn Gresham,41.7433773,-87.6561995
8,Avalon Park,Avalon Park,41.747774,-87.5908803
9,Avondale,Avondale,41.747774,-87.5908803
10,Avondale Gardens,Irving Park,41.950931,-87.71768
11,Back of the Yards,New City,41.807533,-87.666163
12,Belmont Central,Belmont Cragin,41.9261544,-87.7777071
13,Belmont Gardens,Hermosa,41.9353935,-87.7296983
14,Belmont Heights,Dunning,41.9430001,-87.8177243
15,Belmont Terrace,Dunning,41.9414,-87.8329
16,Beverly,Beverly,41.7171204,-87.6761796
17,Beverly View,Ashburn,41.7171204,-87.6761796
18,Beverly Woods,Morgan Park,41.7171204,-87.6761796
19,Big Oaks,Norwood Park,41.7171204,-87.6761796
20,Boystown,Lake View,41.9482929,-87.6491289
21,Bowmanville,Lincoln Square,41.9482929,-87.6491289
22,Brainerd,Washington Heights,41.9482929,-87.6491289
23,Brickyard,Belmont Cragin,41.9294026,-87.7874006
24,Bridgeport,Bridgeport,41.8365443,-87.6495075
25,Brighton Park,Brighton Park,41.8193797,-87.6990248
26,Bronzeville,Douglas,41.8193797,-87.6990248
27,Bucktown,Logan Square,41.8193797,-87.6990248
28,Budlong Woods,Lincoln Square,41.8193797,-87.6990248
29,Buena Park,Uptown,41.8193797,-87.6990248
30,Burnside,Burnside,41.8193797,-87.6990248
31,Cabrini–Green,Near North Side,41.9010905,-87.6414636
32,Calumet Heights,Calumet Heights,41.9010905,-87.6414636
33,Canaryville,New City,41.9010905,-87.6414636
34,Central Station,Near South Side,41.8646077,-87.6215382
35,Chatham,Chatham,41.7409936,-87.6138818
36,Chicago Lawn,Chicago Lawn,41.7719419,-87.6954099
37,Chinatown,Armour Square,41.850691,-87.634049
38,Chrysler Village,Clearing,41.850691,-87.634049
39,Clarendon Park,Uptown,41.9633603,-87.6486024
40,Clearing East,Clearing,41.9633603,-87.6486024
41,Clearing West,Clearing,41.9633603,-87.6486024
42,Cottage Grove Heights,Pullman,41.9633603,-87.6486024
43,Cragin,Belmont Cragin,41.9263921,-87.765942
44,Crestline,Ashburn,41.9263921,-87.765942
45,Dearborn Homes,Douglas,41.8430889,-87.6278291
46,Dearborn Park,Near South Side,41.8430889,-87.6278291
47,Douglas Park,North Lawndale,41.8621181,-87.699473
48,Dunning,Dunning,41.9472072,-87.8064649
49,East Beverly,Beverly,41.9472072,-87.8064649
50,East Chatham,Chatham,41.9472072,-87.8064649
51,East Garfield Park,East Garfield Park,41.9472072,-87.8064649
52,East Hyde Park,Hyde Park,41.9472072,-87.8064649
53,East Pilsen,Lower West Side,41.9472072,-87.8064649
54,East Side,East Side,41.9472072,-87.8064649
55,East Village,West Town,41.8994127,-87.6844851
56,Eden Green,Riverdale,41.8994127,-87.6844851
57,Edgebrook,Forest Glen,41.9978215,-87.7658554
58,Edgewater,Edgewater,41.9872447,-87.6612335
59,Edgewater Beach,Edgewater,41.98322,-87.654611
60,Edgewater Glen,Edgewater,41.98322,-87.654611
61,Edison Park,Edison Park,42.0054486,-87.8132901
62,Englewood,Englewood,41.775305,-87.6416419
63,Fernwood,Roseland,41.775305,-87.6416419
64,Fifth City,East Garfield Park,41.775305,-87.6416419
65,Ford City,West Lawn,41.775305,-87.6416419
66,Forest Glen,Forest Glen,41.9791773,-87.7514364
67,Fuller Park,Fuller Park,41.8114419,-87.6346191
68,Fulton River District,Near West Side,41.8114419,-87.6346191
69,Gage Park,Gage Park,41.7939013,-87.6845295
70,Galewood,Austin,41.7939013,-87.6845295
71,The Gap,Douglas,41.7939013,-87.6845295
72,Garfield Ridge,Garfield Ridge,41.7941486,-87.7706072
73,Gladstone Park,Jefferson Park,41.9796769,-87.7777289
74,Gold Coast,Near North Side,41.9066994,-87.6253308
75,Golden Gate,Riverdale,41.656684,-87.611876
76,Goose Island,Near North Side,41.9044551,-87.6544137
77,Graceland West,Lake View,41.9365414,-87.6702265
78,Grand Boulevard,Grand Boulevard,41.8130785,-87.6178087
79,Grand Crossing,Greater Grand Crossing,41.7634139,-87.5953825
80,Greater Grand Crossing,Greater Grand Crossing,41.7634139,-87.5953825
81,Greektown,Near West Side,41.8785644,-87.6470504
82,Gresham,Auburn Gresham,41.737143,-87.6444638
83,Groveland Park,Douglas,41.737143,-87.6444638
84,Hamilton Park,Englewood,41.7614103,-87.637436
85,Hanson Park,Belmont Cragin,41.7614103,-87.637436
86,Heart of Chicago,Lower West Side,41.7614103,-87.637436
87,Hegewisch,Hegewisch,41.6554963,-87.5458624
88,Hermosa,Hermosa,41.9214731,-87.7343859
89,Hollywood Park,North Park,41.9895557,-87.7119396
90,Homan Square,North Lawndale,41.9895557,-87.7119396
91,Humboldt Park,Humboldt Park,41.902839,-87.7070581
92,Hyde Park,Hyde Park,41.794295,-87.590701
93,Illinois Medical District,Near West Side,41.794295,-87.590701
94,Irving Park,Irving Park,41.9529604,-87.7212413
95,Irving Woods,Dunning,41.9529604,-87.7212413
96,The Island,Austin,41.9529604,-87.7212413
97,Jackowo,Avondale,41.9415011,-87.7025021
98,Jackson Park Highlands,South Shore,41.768781,-87.5778935
99,Jefferson Park,Jefferson Park,41.9684969,-87.7636813
100,K-Town,North Lawndale,41.8512564,-87.7314997
101,Kelvyn Park,Hermosa,41.9296854,-87.7380983
102,Kennedy Park,Morgan Park,41.6870229,-87.6834608
103,Kensington,Roseland,41.6857079,-87.6123016
104,Kenwood,Kenwood,41.8094772,-87.5932664
105,Kilbourn Park,Irving Park,41.9440637,-87.7389881
106,Kosciuszko Park,Logan Square,41.9309688,-87.7250021
107,Lake Meadows,Douglas,41.9309688,-87.7250021
108,Lake View,Lake View,41.9435601,-87.6583642
109,Lake View East,Lake View,41.9413585,-87.6443089
110,Lakewood / Balmoral,Edgewater,41.9799008,-87.6624815
111,LeClaire Courts,Garfield Ridge,41.9799008,-87.6624815
112,Legends South (Robert Taylor Homes),Grand Boulevard,41.9799008,-87.6624815
113,Lilydale,Roseland,41.9799008,-87.6624815
114,Lincoln Park,Lincoln Park,41.9214378,-87.6513043
115,Lincoln Square,Lincoln Square,41.9699483,-87.6886779
116,Lithuanian Plaza,Chicago Lawn,41.9699483,-87.6886779
117,Little Italy,Near West Side,41.868607,-87.6605791
118,Little Village,South Lawndale,41.8458158,-87.705823
119,Logan Square,Logan Square,41.9230598,-87.7092908
120,Longwood Manor,Washington Heights,41.9230598,-87.7092908
121,The Loop,The Loop,41.8786351,-87.6250549
122,Lower West Side,Lower West Side,41.848922,-87.6695189
123,Loyola,Rogers Park,41.848922,-87.6695189
124,Magnificent Mile,Near North Side,41.894809,-87.6242142
125,Margate Park,Uptown,41.972088,-87.6497743
126,Marquette Park,Chicago Lawn,41.7686101,-87.7032024
127,Marshall Square,South Lawndale,41.7686101,-87.7032024
128,Marynook,Avalon Park,41.7686101,-87.7032024
129,Mayfair,Albany Park,41.7686101,-87.7032024
130,McKinley Park,McKinley Park,41.8246096,-87.6798754
131,Merchant Park,Irving Park,41.945622,-87.7331909
132,Montclare,Montclare,41.929382,-87.7981597
133,Morgan Park,Morgan Park,41.6878395,-87.6690026
134,Mount Greenwood,Mount Greenwood,41.6931221,-87.7123547
135,Museum Campus,Near South Side,41.6931221,-87.7123547
136,Near East Side,The Loop,41.6931221,-87.7123547
137,Near North Side,Near North Side,41.6931221,-87.7123547
138,Near West Side,Near West Side,41.8810644,-87.663045
139,New Chinatown,Uptown,41.973176,-87.6558352
140,New City,New City,41.8066775,-87.6679765
141,Noble Square,West Town,41.9031494,-87.6654915
142,North Austin,Austin,41.9031494,-87.6654915
143,North Center,North Center,41.9508915,-87.6827676
144,North Halsted,Lake View,41.9508915,-87.6827676
145,North Kenwood,Kenwood,41.9508915,-87.6827676
146,North Lawndale,North Lawndale,41.8584847,-87.7138636
147,North Mayfair,Albany Park,41.8584847,-87.7138636
148,North Park,North Park,41.9843083,-87.7260058
149,Nortown,West Ridge,41.9954762,-87.6991336
150,Norwood Park East,Norwood Park,41.9954762,-87.6991336
151,Norwood Park West,Norwood Park,41.9954762,-87.6991336
152,Oakland,Oakland,41.9954762,-87.6991336
153,O'Hare,O'Hare,41.9772983,-87.8368909
154,Old Edgebrook,Forest Glen,41.9948018,-87.7676866
155,Old Irving Park,Irving Park,41.9948018,-87.7676866
156,Old Norwood,Norwood Park,41.9880354,-87.8025502
157,Old Town,Near North Side,41.9107666,-87.6370469
158,Old Town Triangle,Lincoln Park,41.9107666,-87.6370469
159,Oriole Park,Norwood Park,41.9795107,-87.815456
160,Palmer Square,Logan Square,41.9230598,-87.7092908
161,Park Manor,Greater Grand Crossing,41.9230598,-87.7092908
162,Park West,Lincoln Park,41.918591,-87.637381
163,Parkview,Ashburn,41.7409086,-87.7139962
164,Peterson Park,West Ridge,42.0005804,-87.6925767
165,Pill Hill,Calumet Heights,42.0005804,-87.6925767
166,Pilsen,Lower West Side,42.0005804,-87.6925767
167,Polish Downtown,"West Town, Logan Square",42.0005804,-87.6925767
168,Polish Village,"Avondale, Irving Park",42.0005804,-87.6925767
169,Portage Park,Portage Park,41.953662,-87.7644903
170,Prairie Avenue Historic District,Near South Side,41.8576587,-87.6226594
171,Prairie Shores,Douglas,41.8576587,-87.6226594
172,Princeton Park,Roseland,41.8576587,-87.6226594
173,Printer's Row,The Loop,41.87382,-87.6291214
174,Pulaski Park,West Town,41.906761,-87.6634095
175,Pullman,Pullman,41.689521,-87.6060806
176,Ranch Triangle,Lincoln Park,41.689521,-87.6060806
177,Ravenswood,Lincoln Square,41.9681851,-87.6803028
178,Ravenswood Gardens,Lincoln Square,41.9681851,-87.6803028
179,Ravenswood Manor,Albany Park,41.9648891,-87.7012498
180,River North,Near North Side,41.8923848,-87.6340749
181,River West,West Town,41.8923848,-87.6340749
182,River's Edge,North Park,41.8923848,-87.6340749
183,Riverdale,Riverdale,41.8923848,-87.6340749
184,Rogers Park,Rogers Park,42.0091098,-87.6753999
185,Roscoe Village,North Center,42.0091098,-87.6753999
186,Rosehill,West Ridge,42.0091098,-87.6753999
187,Roseland,Roseland,41.7112739,-87.6235742
188,Rosemoor,Roseland,41.7112739,-87.6235742
189,Saint Ben's,North Center,41.9539012,-87.6839517
190,Sauganash,Forest Glen,41.9539012,-87.6839517
191,Schorsch Forest View,O'Hare,41.9539012,-87.6839517
192,Schorsch Village,Dunning,41.9539012,-87.6839517
193,Scottsdale,Ashburn,41.9539012,-87.6839517
194,Sheffield Neighbors,Lincoln Park,41.9539012,-87.6839517
195,Sheridan Park,Uptown,41.9539012,-87.6839517
196,Sheridan Station Corridor,Lakeview,41.9539012,-87.6839517
197,Sleepy Hollow,Garfield Ridge,41.9539012,-87.6839517
198,Smith Park,West Town,41.8930015,-87.6905214
199,South Austin,Austin,41.8930015,-87.6905214
200,South Chicago,South Chicago,41.8930015,-87.6905214
201,South Commons,Douglas,41.8930015,-87.6905214
202,South Deering,South Deering,41.6852465,-87.5692461
203,South East Ravenswood,Lake View,41.6852465,-87.5692461
204,South Edgebrook,Forest Glen,41.9791773,-87.7514364
205,South Lawndale,South Lawndale,41.8458158,-87.705823
206,South Loop,The Loop,41.8458158,-87.705823
207,South Shore,South Shore,41.8458158,-87.705823
208,Stateway Gardens,Douglas,41.8458158,-87.705823
209,Stony Island Park,Avalon Park,41.8458158,-87.705823
210,Streeterville,Near North Side,41.8458158,-87.705823
211,Talley's Corner,Mount Greenwood,41.8458158,-87.705823
212,Tri-Taylor,Near West Side,41.8810644,-87.663045
213,Ukrainian Village,West Town,41.8994127,-87.6844851
214,Union Ridge,Norwood Park,41.8994127,-87.6844851
215,University Village,Near West Side,41.868607,-87.6605791
216,Uptown,Uptown,41.868607,-87.6605791
217,The Villa,Irving Park,41.868607,-87.6605791
218,Vittum Park,Garfield Ridge,41.8029957,-87.7483454
219,Wacławowo,Avondale,41.9415011,-87.7025021
220,Washington Heights,Washington Heights,41.7055923,-87.6558868
221,Washington Park,Washington Park,41.7937913,-87.6108147
222,Wentworth Gardens,Armour Square,41.7937913,-87.6108147
223,West Beverly,Beverly,41.7171204,-87.6761796
224,West Chatham,Chatham,41.7449326,-87.6321215
225,West Chesterfield,"Chatham, Roseland",41.7449326,-87.6321215
226,West DePaul,Lincoln Park,41.7449326,-87.6321215
227,West Elsdon,West Elsdon,41.7449326,-87.6321215
228,West Englewood,West Englewood,41.7449326,-87.6321215
229,West Garfield Park,West Garfield Park,41.7449326,-87.6321215
230,West Humboldt Park,"Austin, Humboldt Park",41.7449326,-87.6321215
231,West Lakeview,Lake View,41.7449326,-87.6321215
232,West Lawn,West Lawn,41.7728107,-87.722275
233,West Loop,Near West Side,41.7728107,-87.722275
234,West Morgan Park,Morgan Park,41.7728107,-87.722275
235,West Pullman,West Pullman,41.6716306,-87.6333462
236,West Ridge,West Ridge,42.0005804,-87.6925767
237,West Rogers Park,West Ridge,42.0005804,-87.6925767
238,West Town,West Town,41.8935946,-87.6721671
239,West Woodlawn,Woodlawn,41.8935946,-87.6721671
240,Wicker Park,West Town,41.9088028,-87.6795985
241,Wildwood,Forest Glen,41.9088028,-87.6795985
242,Woodlawn,Woodlawn,41.9088028,-87.6795985
243,Wrightwood,Ashburn,41.7489562,-87.7035994
244,Wrightwood Neighbors,Lincoln Park,41.7489562,-87.7035994
245,Wrigleyville,Lake View,41.7489562,-87.7035994
