Neighborhood,Community area,Latitude,Longitude
The Loop,The Loop,41.8786351,-87.6250549
Near East Side,The Loop,41.8861,-87.6178
Printer's Row,The Loop,41.87382,-87.6291214
South Loop,The Loop,41.8705481,-87.6259025
Cabrini-Green,Near North Side,41.9010905,-87.6414636
Gold Coast,Near North Side,41.9066994,-87.6253308
Goose Island,Near North Side,41.9044551,-87.6544137
Magnificent Mile,Near North Side,41.894809,-87.6242142
Near North Side,Near North Side,41.900306,-87.6334451
Old Town,Near North Side,41.9107666,-87.6370469
River North,Near North Side,41.8923848,-87.6340749
Streeterville,Near North Side,41.8927362,-87.6200416
Central Station,Near South Side,41.8646077,-87.6215382
Dearborn Park,Near South Side,41.8664289,-87.6289995
Museum Campus,Near South Side,41.8635952,-87.6162555
Prairie Avenue Historic District,Near South Side,41.8576587,-87.6226594
Fulton River District,Near West Side,41.8894949,-87.6433644
Greektown,Near West Side,41.8785644,-87.6470504
Illinois Medical District,Near West Side,41.8684943,-87.6739749
Little Italy/University Village,Near West Side,41.868607,-87.6605791
Near West Side,Near West Side,41.8810644,-87.663045
Tri-Taylor,Near West Side,41.8691023,-87.6847435
West Loop,Near West Side,41.882457,-87.6446775
Albany Park,Albany Park,41.9689723,-87.7197245
Archer Heights,Archer Heights,41.8108668,-87.7263045
Armour Square,Armour Square,41.8407554,-87.6340186
Chinatown,Armour Square,41.850691,-87.634049
Wentworth Gardens,Armour Square,41.8252384,-87.6340619
Ashburn,Ashburn,41.7479001,-87.7072177
Auburn Gresham,Auburn Gresham,41.7433773,-87.6561995
Galewood,Austin,41.9159778,-87.7984653
The Island,Austin,41.8670575,-87.7701836
North Austin,Austin,41.910533,-87.7608361
South Austin,Austin,41.8825381,-87.7601736
West Humboldt Park,"Austin, Humboldt Park",41.9025449,-87.7352909
Avalon Park,Avalon Park,41.747774,-87.5908803
Avondale,Avondale,41.9415011,-87.7025021
Irving Park,Irving Park,41.9529604,-87.7212413
Belmont Central,Belmont Cragin,41.9261544,-87.7777071
Beverly,Beverly,41.7171204,-87.6761796
Bridgeport,Bridgeport,41.8365443,-87.6495075
Brighton Park,Brighton Park,41.8193797,-87.6990248
Burnside,Burnside,41.7281304,-87.5964182
Calumet Heights,Calumet Heights,41.7298307,-87.5704764
Chatham,Chatham,41.7409936,-87.6138818
Chicago Lawn,Chicago Lawn,41.7719419,-87.6954099
Chrysler Village,Clearing,41.7763868,-87.7519502
Bronzeville,Douglas,41.8251047,-87.6176022
Dearborn Homes,Douglas,41.8430889,-87.6278291
Groveland Park,Douglas,41.8321796,-87.609381
Lake Meadows,Douglas,41.835229,-87.6140426
Prairie Shores,Douglas,41.8423119,-87.6149108
South Commons,Douglas,41.8421825,-87.6203371
Stateway Gardens,Douglas,41.8274563,-87.6284237
Dunning,Dunning,41.9472072,-87.8064649
