,Borough,City,NumNeighborhoods,0,1,2,3,4
0,Albany Park,Chicago,1,1,0,0,0,0
1,Archer Heights,Chicago,1,0,0,0,1,0
2,Armour Square,Chicago,3,0.666666667,0,0.333333333,0,0
3,Ashburn,Chicago,1,0,0,0,1,0
4,Auburn Gresham,Chicago,1,0,0,0,1,0
5,Austin,Chicago,4,0.5,0,0,0.5,0
6,"Austin, Humboldt Park",Chicago,1,0,0,0,1,0
7,Avalon Park,Chicago,1,0,0,0,1,0
8,Avondale,Chicago,1,1,0,0,0,0
9,Belmont Cragin,Chicago,1,1,0,0,0,0
10,Beverly,Chicago,1,1,0,0,0,0
11,Bridgeport,Chicago,1,1,0,0,0,0
12,Brighton Park,Chicago,1,0,0,0,1,0
13,Bronx,New York,52,0.596153846,0.057692308,0.057692308,0.269230769,0.019230769
14,Brooklyn,New York,69,0.391304348,0.014492754,0.362318841,0.217391304,0.014492754
15,Burnside,Chicago,1,0,0,0,1,0
16,Calumet Heights,Chicago,1,0,0,0,1,0
17,Chatham,Chicago,1,0,0,0,1,0
18,Chicago Lawn,Chicago,1,0,0,0,1,0
19,Clearing,Chicago,1,0,0,1,0,0
20,Douglas,Chicago,7,0.142857143,0,0.142857143,0.714285714,0
21,Dunning,Chicago,1,1,0,0,0,0
22,East Garfield Park,Chicago,1,0,0,0,1,0
23,East Side,Chicago,1,1,0,0,0,0
24,Edgewater,Chicago,1,0,0,1,0,0
25,Edison Park,Chicago,1,0,0,1,0,0
26,Englewood,Chicago,1,0,0,0,1,0
27,Forest Glen,Chicago,1,0,0,1,0,0
28,Fuller Park,Chicago,1,0,0,0,1,0
29,Gage Park,Chicago,1,0,0,0,1,0
30,Garfield Ridge,Chicago,1,1,0,0,0,0
31,Grand Boulevard,Chicago,1,0,0,0,1,0
32,Greater Grand Crossing,Chicago,1,0,0,0,1,0
33,Hegewisch,Chicago,1,1,0,0,0,0
34,Hermosa,Chicago,1,1,0,0,0,0
35,Humboldt Park,Chicago,1,0,0,0,1,0
36,Hyde Park,Chicago,2,0,0,1,0,0
37,Irving Park,Chicago,1,1,0,0,0,0
38,Jefferson Park,Chicago,1,0,0,1,0,0
39,Kenwood,Chicago,1,0,0,0,1,0
40,Lake View,Chicago,1,0,0,1,0,0
41,Lincoln Park,Chicago,2,0,0,1,0,0
42,Lincoln Square,Chicago,1,0,0,1,0,0
43,Logan Square,Chicago,1,0,0,1,0,0
44,Lower West Side,Chicago,1,0,0,1,0,0
45,Manhattan,New York,40,0.025,0,0.975,0,0
46,McKinley Park,Chicago,1,0,0,0,1,0
47,Montclare,Chicago,1,0,0,0,1,0
48,Morgan Park,Chicago,1,0,0,0,1,0
49,Mount Greenwood,Chicago,1,1,0,0,0,0
50,Near North Side,Chicago,8,0,0,1,0,0
51,Near South Side,Chicago,3,0,0,1,0,0
52,Near West Side,Chicago,7,0.142857143,0,0.714285714,0.142857143,0
53,New City,Chicago,1,0,0,0,1,0
54,North Center,Chicago,1,0,0,1,0,0
55,North Lawndale,Chicago,1,0,0,0,1,0
56,North Park,Chicago,1,1,0,0,0,0
57,Norwood Park,Chicago,2,0.5,0,0,0.5,0
58,O'Hare,Chicago,1,1,0,0,0,0
59,Oakland,Chicago,1,0,0,0,0,1
60,Portage Park,Chicago,1,1,0,0,0,0
61,Pullman,Chicago,1,0,0,0,1,0
62,Queens,New York,81,0.530864198,0.037037037,0.172839506,0.148148148,0.111111111
63,Riverdale,Chicago,1,0,0,0,0,1
64,Rogers Park,Chicago,2,0,0,1,0,0
65,Roseland,Chicago,1,0,0,0,1,0
66,South Chicago,Chicago,1,1,0,0,0,0
67,South Deering,Chicago,1,0,0,0,0,1
68,Staten Island,New York,63,0.507936508,0.365079365,0.015873016,0.047619048,0.063492063
69,The Loop,Chicago,4,0,0,1,0,0
